Abteilung=[Amazon.de],Suchbegriff=[],ASINs oder Produkte eingeben=[],Auswertungsbereich=[Monatlich], Wird angezeigt=[01.06.18 - 30.06.18]
Abteilung,Suchbegriff,Suchfrequenz-Rang ,#1 der angeklickten ASINs,Produkttitel #1,Klickrate #1,Umsatzrate #1,#2 der angeklickten ASINs,Produkttitel #2,Klickrate #2,Umsatzrate #2,#3 der angeklickten ASINs,Produkttitel #3,Klickrate #3,Umsatzrate #3
Amazon.de,kopfhörer,13,B00CBU0IV8,Panasonic RP-HJE125-KI n-Ear-Kopfhörer schwarz,0.220243,0.39844,B00NBR70DO,"Sony MDR-ZX110 faltbarer Bügelkopfhörer, schwarz",0.165624,0.158277,B0756BRVXJ,"Anker Bluetooth Kopfhörer SoundBuds Flow in Ear magnetisches Headset, mit Wasserschutzklasse IPX5/7-Stunden-Spielzeit/Mikrofon, federleicht für iPhone, iPad, Samsung, Nexus, HTC und mehr",0.10808,0.095356
Amazon.de,waschmaschine,14,B00N9XDPSO,Siemens iQ700 WM16W540 iSensoric Premium-Waschmaschine/A+++/1600 UpM/8kg/Weiß/VarioPerfect/Antiflecken-System/Selbstreinigungsschublade,0.159572,0.133473,B006T7JXMY,Gorenje WA6840 Waschmaschine FL / A+++ / 146 kWh/Jahr / 1400 UpM / 6 kg / 9.146 L/Jahr / Weiß / Startzeitvorwahl (24 h) / LED Display,0.139853,0.191474,B0754WCWYC,Bauknecht WA Soft 7F4 Waschmaschine Frontlader/A+++/1400 UpM/langlebiger Motor/Nachlegefunktion/Wasserschutz/weiß,0.053136,0.056604
Amazon.de,usb stick,15,B00DQG9OZ2,SanDisk Ultra 32GB USB-Flash-Laufwerk USB 3.0 bis zu 100MB/Sek,0.20638,0.219072,B008RDCEBK,Intenso Alu Line 32 GB USB-Stick USB 2.0 anthrazit,0.120886,0.147905,B005FYNSZA,"SanDisk Cruzer Fit Z33 16GB USB-Stick, USB 2.0 schwarz",0.083979,0.088447
Amazon.de,nintendo switch spiele,16,B07913DTK3,Donkey Kong Country Tropical Freeze - [Nintendo Switch],0.070856,0.079088,B07BC272SC,Super Smash Bros. Ultimate - [Nintendo Switch],0.066635,0.0456,B07912VF4J,Mario Tennis Aces - [Nintendo Switch],0.06313,0.074457
Amazon.de,lego,17,B01J41DNWM,"Lego Creator 31058 - Dinosaurier, Dinosaurier Spielzeug",0.075336,0.130841,B00PY3EYQO,Lego 10698 - Classic Große Bausteine-Box,0.050359,0.040826,B075H1XL8S,"Lego Technic 42073 - Rückziehauto, Set für geübte Baumeister",0.046389,0.073783
Amazon.de,bluetooth kopfhörer,18,B0756BRVXJ,"Anker Bluetooth Kopfhörer SoundBuds Flow in Ear magnetisches Headset, mit Wasserschutzklasse IPX5/7-Stunden-Spielzeit/Mikrofon, federleicht für iPhone, iPad, Samsung, Nexus, HTC und mehr",0.495804,0.672758,B01M6WNWR6,JBL T450BT Kabelloser On-Ear Bluetooth Kopfhörer mit Integrierter Musiksteuerung und Mikrofon Kompatibel mit Apple und Android Geräten -Schwarz,0.226676,0.138587,B07B9R67WR,"Soundcore Spirit X Bluetooth Kopfhörer von Anker, mit Bluetooth 5.0/12 Stunden Akkulaufzeit/IPX7 SweatGuard Technologie/Mikrofon/Super Halt und Fantastischem Sound, für iPhone, iPad, Samsung, Huawei, HTC und mehr (Schwarz)",0.052953,0.07272
Amazon.de,kühlschrank,19,B013CP2MO6,Bomann VS 2262 Kühlschrank/A+/85.3 cm/109 kWh/Jahr/87 L Kühlteil/justierbare Standfüße/weiß,0.222516,0.410939,B00JWC0X7M,Samsung RB29HER2CSA Kühl-Gefrier-Kombination/A++/178cm Höhe/Silber/188 L Kühlen/98 L Gefrierteil/No Frost,0.136341,0.045824,B06Y2TVW9Y,Bomann KG 320.1 Kühl-Gefrier-Kombination/EEK A++/143 cm/160 kWh/Jahr/122 L Kühlteil/43 L Gefrierteil,0.086893,0.045085
Amazon.de,kaffeemaschine,20,B00JM0BYDQ,Melitta 1010-02 Easy Kaffeefiltermaschine | mit Glaskanne | Tropfstopp | Schwenkfilter | optimale Brühtemperatur für volle Aromaentfaltung | schwarz,0.15036,0.281833,B000ALVUM6,"Philips HD7546/20 Gaia Filter-Kaffeemaschine mit Thermo-Kanne, schwarz/metall",0.136237,0.236279,B06X96X7FJ,"Bosch Tassimo Vivy 2 TAS1402 Kapselmaschine (1300 W, 78 dB) schwarz",0.087765,0.063392
Amazon.de,gasgrill,21,B01N39C5MJ,"ProfiCook PC-GG 1128 Gasgrill 2 Edelstahlbrenner, 2 Heizzonen für individuelle Temperatursteuerung, stufenlose Temperatureinstellung, Edelstahlfront und -haube, klappbare Seitentische",0.188546,0.236467,B00VE1GL2U,"Clatronic GG 3590 Gasgrill 2 Brenner, 2 Heizzonen für individuelle Temperatursteuerung, stufenlose Temperatureinstellung, herausnehmbarer Fettauffangbehälter, Temperaturanzeige",0.109044,0.196581,B01LYEDVT2,"Enders BBQ Gasgrill SAN DIEGO 3, Gas Grill 81166, 3 Edelstahl-Brenner stufenlos, kleiner Grillwagen mit Deckel, Thermometer, Warmhalterost, stabile Seitenablagen",0.096453,0.092593
Amazon.de,playmobil,22,B0077QT4VG,PLAYMOBIL 5167 - Mein Neues Mitnehm-Puppenhaus,0.067968,0.050663,B0766D7R6S,PLAYMOBIL 9360 - SEK-Truck mit Licht und Sound Spiel,0.058191,0.051442,B0766CKZ9P,PLAYMOBIL 9275 - Tierhotel Pfötchen Spiel,0.053266,0.024162
