Abteilung=[Amazon.de],Suchbegriff=[],ASINs oder Produkte eingeben=[],Auswertungsbereich=[Monatlich], Wird angezeigt=[01.09.18 - 30.09.18]
Abteilung,Suchbegriff,Suchfrequenz-Rang ,#1 der angeklickten ASINs,Produkttitel #1,Klickrate #1,Umsatzrate #1,#2 der angeklickten ASINs,Produkttitel #2,Klickrate #2,Umsatzrate #2,#3 der angeklickten ASINs,Produkttitel #3,Klickrate #3,Umsatzrate #3
Amazon.de,kaffeevollautomat,13,B00400OMU0,DeLonghi Magnifica S ECAM 22.110.B Kaffeevollautomat | Direktwahltasten und Drehregler | Milchaufschäumdüse | leises Kegelmahlwerk 13 Stufen | Herausnehmbare Brühgruppe | 2-Tassen-Funktion | schwarz,0.252826,0.395819,B00INSX904,"Krups EA8108 Kaffeevollautomat (1450 Watt, 1,8 Liter Wassertank, CappuccinoPlus-Düse, 2-Tassen-Funktion, 15 bar) schwarz",0.122389,0.148348,B074QGDYVB,"Siemens EQ.6 Plus s300 TE653501DE Kaffeevollautomat (1500 Watt, Keramik-mahlwerk, Touch-Sensor-Direktwahltasten, personalisiertes Getränk) silber",0.087919,0.039784
Amazon.de,playmobil,14,B0766D7R6S,Playmobil 9360 - SEK-Truck mit Licht und Sound Spiel,0.048968,0.042527,B0077QT4VG,Playmobil 5167 - Mein Neues Mitnehm-Puppenhaus,0.043201,0.025016,B00IF1VVFO,Playmobil 5568 - Kinderspielplatz,0.038797,0.025641
Amazon.de,kaffeemaschine,15,B000ALVUM6,"Philips HD7546/20 Gaia Filter-Kaffeemaschine mit Thermo-Kanne, schwarz/metall",0.118423,0.209258,B00JM0BYDQ,"Melitta Easy 1010-02, Filterkaffeemaschine mit Glaskanne, Kompaktes Design, Schwarz",0.111103,0.226513,B00400OMU0,DeLonghi Magnifica S ECAM 22.110.B Kaffeevollautomat | Direktwahltasten und Drehregler | Milchaufschäumdüse | leises Kegelmahlwerk 13 Stufen | Herausnehmbare Brühgruppe | 2-Tassen-Funktion | schwarz,0.090647,0.035059
Amazon.de,waschmaschine,16,B00N9XDPSO,Siemens iQ700 WM16W540 iSensoric Premium-Waschmaschine / A+++ / 1600 UpM / 8kg / Automatische Fleckenentfernung / Schnellwaschprogramm / Nachlegefunktion,0.135398,0.113842,B006T7JXMY,Gorenje WA6840 Waschmaschine FL/A+++ / 146 kWh/Jahr / 1400 UpM / 6 kg / 9.146 L/Jahr / Weiß/Startzeitvorwahl (24 h) / LED Display,0.130436,0.167529,B0754WCWYC,Bauknecht WA Soft 7F4 Waschmaschine Frontlader / A+++ / 1400 UpM / langlebiger Motor / Nachlegefunktion / Wasserschutz/ weiß,0.090637,0.134541
Amazon.de,usb stick,17,B00DQGBYDC,SanDisk Ultra 64GB USB-Flash-Laufwerk USB 3.0 bis zu 100MB/Sek,0.225438,0.218684,B008IEC2GA,Intenso Ultra Line 32 GB USB-Stick USB 3.0 silber,0.126591,0.152818,B008RDCEBK,Intenso Alu Line 32 GB USB-Stick USB 2.0 anthrazit,0.066792,0.086765
Amazon.de,alexa,18,B06ZXQV6P8,"Amazon Echo (2. Gen.), Intelligenter Lautsprecher mit Alexa, Anthrazit Stoff",0.31159,0.338273,B01DFKBG54,"Amazon Echo Dot (2. Gen.) Intelligenter Lautsprecher mit Alexa, Schwarz",0.167231,0.191249,B01J2BL01K,"Amazon Echo Spot, Intelligenter Lautsprecher und Bildschirm mit Alexa - Schwarz",0.083064,0.060927
Amazon.de,bluetooth kopfhörer,19,B0756BRVXJ,"Anker Bluetooth Kopfhörer SoundBuds Flow in Ear magnetisches Headset, mit Wasserschutzklasse IPX5/7-Stunden-Spielzeit/Mikrofon, federleicht für iPhone, iPad, Samsung, Nexus, HTC und mehr",0.30507,0.397281,B0753VDT2N,"Mpow Flame Bluetooth Kopfhörer, IPX7 Wasserdicht Kopfhörer Sport, 7-10 Stunden Spielzeit, Rich bass, Sportkopfhörer Joggen/Laufen Bluetooth 4.1, In Ear Kopfhörer mit Mikrofon für iPhone Android Samsung iPad Huawei HTC usw",0.161239,0.277946,B01M6WNWR6,JBL T450BT Kabelloser On-Ear Bluetooth Kopfhörer mit Integrierter Musiksteuerung und Mikrofon Kompatibel mit Apple und Android Geräten -Schwarz,0.156113,0.084592
Amazon.de,nintendo switch spiele,20,B07DPZ1WQ9,Super Mario Party - [Nintendo Switch],0.15774,0.135456,B01MUBNPYP,Super Mario Odyssey [Nintendo Switch],0.065493,0.102372,B07DF2CMP4,"Pokémon: Let´s Go, Pikachu! - [Nintendo Switch]",0.043992,0.030587
Amazon.de,lego technik,21,B01J41LWFW,LEGO Technic 42065 - Ferngesteuerter Tracked Racer,0.094592,0.126316,B0792RDN2Z,"LEGO Technic Geländegängiger Kranwagen (42082), Bauspielzeug",0.073737,0.037845,B01CCT2ZIG,"LEGO Technic 42055 - Schaufelradbagger, Bauspielzeug",0.066305,0.027068
Amazon.de,spiderman ps4,22,B01H1QQIGU,Marvel’s Spider-Man - Standard Edition - [PlayStation 4],0.667945,0.633992,B07F7PGVWK,Marvel’s Spider-Man - Special Edition - [PlayStation 4],0.139453,0.197391,B07CMB9DBR,Marvel’s Spider-Man - Collector's Edition  - [PlayStation 4],0.069216,0.041952
Amazon.de,wasserkocher,23,B0019QLTMW,"Philips HD4646/20  Serie Wasserkocher (1,5 Liter, 2400 Watt, Anti-Kalk), Silber/Schwarz",0.356645,0.487338,B009I4A1TE,"WMF STELIO Wasserkocher, 1,2 l, 2400 W, Wasserstandsanzeige beleuchtet, Kalk Wasserfilter, cromargan matt/silber",0.126353,0.129417,B075FC8ZJ3,"Philips HD9350/90 Wasserkocher (2200 Watt, 1.7 Liter, Edelstahl)",0.06253,0.04785
