"Abteilung=[Amazon.de]","Suchbegriff=[]","ASINs oder Produkte eingeben=[]","Auswertungsbereich=[Monatlich]"," Wird angezeigt=[01.12.18 - 31.12.18]"
"Abteilung","Suchbegriff","Suchfrequenz-Rang ","#1 der angeklickten ASINs","Produkttitel #1","Klickrate #1","Umsatzrate #1","#2 der angeklickten ASINs","Produkttitel #2","Klickrate #2","Umsatzrate #2","#3 der angeklickten ASINs","Produkttitel #3","Klickrate #3","Umsatzrate #3"
"Amazon.de","nintendo switch",1,"B01N5OPMJW","Nintendo Switch Konsole Neon-Rot/Neon-Blau","25,57%","25,30%","B01M6ZGICT","Nintendo Switch Konsole Grau","18,60%","18,19%","B07HCVBGBS","Nintendo Switch Super Smash Bros. Ultimate-Edition","14,83%","13,33%"
"Amazon.de","ps4 spiele",2,"B01M6Y1Y4A","Red Dead Redemption 2 [PlayStation 4]","7,95%","8,82%","B01H1QQIGU","Marvel’s Spider-Man - Standard Edition - [PlayStation 4]","5,27%","7,71%","B07BZ8SZ51","Spyro Reignited Trilogy - [PlayStation 4]","5,02%","7,98%"
"Amazon.de","harry potter",3,"B00JGV1JW2","Harry Potter und der Stein der Weisen [dt./OV]","9,86%","1,81%","B00IMZJQ4Q","Harry Potter und der Stein der Weisen [dt./OV]","9,04%","0,13%","B00GSC6W9W","Harry Potter und die Kammer des Schreckens","4,76%","0,16%"
"Amazon.de","alexa",4,"B06ZXQV6P8","Amazon Echo (2. Gen.), Intelligenter Lautsprecher mit Alexa, Anthrazit Stoff","21,89%","24,27%","B01DFKBG54","Amazon Echo Dot (2. Gen.) Intelligenter Lautsprecher mit Alexa, Schwarz","21,08%","28,00%","B0792HCFTG","Das neue Echo Dot (3. Gen.) Intelligenter Lautsprecher mit Alexa, Anthrazit Stoff","17,01%","16,43%"
"Amazon.de","bluetooth kopfhörer",5,"B0756BRVXJ","Anker Bluetooth Kopfhörer SoundBuds Flow in Ear magnetisches Headset, mit Wasserschutzklasse IPX5/7-Stunden-Spielzeit/Mikrofon, federleicht für iPhone, iPad, Samsung, Huawei, HTC und mehr","11,78%","17,83%","B07BXNKJ5P","Holyhigh Bluetooth Kopfhörer Bluetooth Headset V5.0 Stereo-Minikopfhörer Sport IPX6 Wasserdicht Kopfhörer in Ear mit Ladekästchen und Integriertem Mikrofon für iPhone Android Samsung iPad Huawei HTC","6,59%","4,68%","B01N1KQGXZ","Mpow Bluetooth Kopfhörer over Ear, [Bis zu 20 Std] Hi-Fi Stereo mit Dual 40mm Treiber, CVC 6.0 Noise Canceling für Integriertem Mikrofon Freisprechen","6,33%","6,75%"
"Amazon.de","lego technik",6,"B01J41LWFW","LEGO Technic 42065 - Ferngesteuerter Tracked Racer","7,44%","4,29%","B075H1XL8S","LEGO Technic 42073 - Rückziehauto, Set für geübte Baumeister","6,63%","11,33%","B075GWYHLK","LEGO Technic 42075 - First Responder Set für geübte Baumeister","6,44%","7,89%"
"Amazon.de","lego",7,"B00PY3EYQO","Lego 10698 - Classic Große Bausteine-Box","6,95%","4,11%","B075GQ97SR","LEGO City 60181 - Starke Fahrzeuge Forsttraktor, Cooles Kinderspielzeug","4,46%","7,97%","B075H28M6K","LEGO City 60183 - Starke Fahrzeuge Schwerlasttransporter, Beliebtes Kinderspielzeug","4,45%","5,41%"
"Amazon.de","weihnachtsdeko",8,"B07F6ZXG5W","LED Lichtervorhang Lichter, LED Lichterkette, Weihnachtsbeleuchtung, 93er LED Lichtervorhang Lang Schneeflocke LED String Licht, Innen/Außen Weihnachtsdeko Deko Christmas 3.5 x 0.8 m","9,22%","7,19%","B00N4RPVNM","3er Set LED Glaskugeln warmweiß batteriebetrieben","4,58%","4,24%","B01J9SC6YG","Salcar LED Lichtervorhang 3x3m wasserdicht IP44 Sterne Lichterkette, Lichtervorhang für Weihnachten, Partydekoration, Innenbeleuchtung, 8 Lichtprogramme (warmweiß)","4,56%","5,01%"
"Amazon.de","kopfhörer",9,"B00I3LUWQA","Sony MDRZX310 Lifestyle Kopfhörer schwarz","9,73%","13,61%","B0736SCQ4X","KLIM Fusion Audio Kopfhörer - Langlebig + 5 Jahre Garantie - Innovativ: In-Ear-Kopfhörer mit Memory Foam 2019 Version Schwarz","9,11%","15,81%","B07JJ8MXZQ","GEJIN Bluetooth Wireless Kopfhörer, V4.1 Stereo magnetischer Headset Wasserdichte Sportkopfhörer","4,58%","0,05%"
"Amazon.de","geschenk für frauen",10,"B01MQWIKU1","Sex Gutscheine mit verschiedenen Stellungen für Paare (für sie & ihn) ❤️ Liebesgutscheine/Sexy Love Coupons für Freund & Freundin, Männer & Frauen - Lustige Witzige Geschenke/Valentinstag Geschenk","6,90%","3,97%",3742302388,"Mein Glück in 100 Listen: Ein originelles Ausfüllbuch, um herauszufinden, was dich wirklich glücklich macht","6,16%","9,02%","B071H37H8L","XIUJUAN Fotoalbum zum Selbstgestalten Leder Scrapbook Album Schwarze Seiten Fotobuch Fotoalben zum Einkleben, Weihnachts Valentinstag Geburtstag Jahrestag Geschenk Frauen Freundin, Mädchen Klein Braun","3,91%","4,36%"
