"Abteilung=[Amazon.de]","Suchbegriff=[]","ASINs oder Produkte eingeben=[]","Auswertungsbereich=[Monatlich]"," Wird angezeigt=[01.11.18 - 30.11.18]"
"Abteilung","Suchbegriff","Suchfrequenz-Rang ","#1 der angeklickten ASINs","Produkttitel #1","Klickrate #1","Umsatzrate #1","#2 der angeklickten ASINs","Produkttitel #2","Klickrate #2","Umsatzrate #2","#3 der angeklickten ASINs","Produkttitel #3","Klickrate #3","Umsatzrate #3"
"Amazon.de","adventskalender",1,"B07GRYKF1G","Amazon Beauty Adventskalender 2018 (1 Stück)","8,60%","7,60%","B079ZSVMQF","FRANZIS Elektronik-Retro-Spiele-Adventskalender 2018 | 24 Spiele der 70er und 80er zum Selberbauen | Jeden Tag ein neuer Bastelspaß | Ab 14 Jahren","4,40%","3,69%","B0094FQZOC","Kinder Maxi Mix Adventskalender, 1er Pack (1 x 351 g)","4,22%","7,47%"
"Amazon.de","nintendo switch",2,"B01N5OPMJW","Nintendo Switch Konsole Neon-Rot/Neon-Blau","31,96%","21,58%","B01M6ZGICT","Nintendo Switch Konsole Grau","11,50%","7,77%","B07HCVBGBS","Nintendo Switch Super Smash Bros. Ultimate-Edition","10,62%","9,53%"
"Amazon.de","weihnachtsdeko",3,"B075N6QXNW","Naler 96 Schneeflocken Fensterbild Abnehmbare Fensterdeko Statisch Haftende PVC Aufkleber Winter Dekoration","7,26%","12,72%","B01HOAVCHS","Salcar Lichterkette mit LED Kugel 12 Sterne 138 Leuchtioden Lichtervorhang Sternenvorhang 8 Modi Innen & Außenlichterkette Wasserdicht Dekoration für Weihnachten Deko Party Festen, Kupfer, Warmweiß","5,46%","6,94%","B076V8K57P","90cm Weihnachtsbaumdecke Weihnachtsdeko Weihnachtsbaum Rock Weiß Plüsch Weihnachtsbaum Decke Weihnachtsbaum Deko","4,75%","4,21%"
"Amazon.de","adventskalender zum befüllen",4,"B01MFAF6W7","Adventino Adventskalender 24 Kraftpapiertüten mit 24 weihnachtlichen Aufklebern Schick und Grau zum Verschließen als Weihnachts-Geschenktüte zum Basteln und Befüllen","11,20%","13,06%","B015E90SRQ","Frau WUNDERVoll® DIY Adventskalender zum Befüllen Bescherung: Set Stern 120, Papiertueten flach 13x16,5cm, Taupe Stern, Ziffern bunt","7,77%","8,44%","B01GS8K962","Heitmann Deco Adventskalender zum Aufhängen und selbst Befüllen - Filz-Adventskalender - Grau, Beige, Weiß","5,75%","5,25%"
"Amazon.de","harry potter",5,"B00JGV1JW2","Harry Potter und der Stein der Weisen [dt./OV]","12,73%","5,24%","B00IMZJQ4Q","Harry Potter und der Stein der Weisen [dt./OV]","8,52%","0,77%","B00HX2J39W","Harry Potter und die Kammer des Schreckens","7,17%","1,63%"
"Amazon.de","laptop",6,"B0796FC3Y1","HP (15,6 Zoll) Notebook (AMD E2-9000e 2x2.00 GHz, 4GB DDR4, 500GB S-ATA HDD, DVD±RW, Radeon R2, HDMI, Webcam, Bluetooth, USB 3.0, WLAN, Windows 10 Prof. 64 Bit) #5579","18,04%","19,19%","B0778M9BRM","Lenovo Gaming (17,3 Zoll HD) Notebook (Intel Core i5 7200U, 8GB DDR4, 1000GB HD, Intel HD Graphics 620, HDMI, Windows 10) #5504","7,92%","5,81%","B07D6XF1N6","Microsoft Surface Laptop 34,29 cm (13,5 Zoll) (Intel Core M3 7Y30 , 128GB Festplatte, 4GB RAM, Intel HD Graphics 615, Win 10 S) Platin Grau","5,36%","3,10%"
"Amazon.de","ps4",7,"B07HHPX4N1","PlayStation 4  - Konsole (500GB, schwarz, slim, F-Chassis) inkl. 2 DualShock 4 Controller","31,32%","24,89%","B07GK6L6XS","PlayStation 4 - Konsole (1TB, schwarz, slim) inkl. FIFA 19 + 2 DualShock Controller","9,42%","15,38%","B07HR27LX4","PlayStation 4 - Konsole (1TB, schwarz, slim) inkl. Call of Duty: Black Ops 4 + 2 DualShock Controller","8,89%","14,96%"
"Amazon.de","black friday 2018 angebote",8,"B07KM1SVHD","Damen Dessous Weihnachten Luckycat Christmas Fashion Women Bow Rassige Unterwäsche Gewürzanzug Versuchung Unterwäsche Nachtwäsche Unterwäsche Reizwäsche Dessous-Sets","8,00%","6,71%","B07F2LHR13","HOT DREAMS Premium Liebesschaukel für die Decke Komplettset inkl. Augenbinde, Sexschaukel Spezialanfertigung extra robust/breit, Sexspielzeug für Paare","7,13%","1,76%","B01J90P010","Fire 7-Tablet mit Alexa, 17,7 cm (7 Zoll) Display, 8 GB (Schwarz), mit Spezialangeboten","6,45%","6,80%"
"Amazon.de","bluetooth kopfhörer",9,"B07BXNKJ5P","Holyhigh Bluetooth Kopfhörer Bluetooth Headset V5.0 Stereo-Minikopfhörer Sport IPX6 Wasserdicht Kopfhörer in Ear mit Ladekästchen und Integriertem Mikrofon für iPhone Android Samsung iPad Huawei HTC","10,65%","10,10%","B0756BRVXJ","Anker Bluetooth Kopfhörer SoundBuds Flow in Ear magnetisches Headset, mit Wasserschutzklasse IPX5/7-Stunden-Spielzeit/Mikrofon, federleicht für iPhone, iPad, Samsung, Nexus, HTC und mehr","10,38%","14,65%","B01N1KQGXZ","Mpow Bluetooth Kopfhörer over Ear, [Bis zu 20 Std] Kabellose Kopfhoerer mit Hi-Fi Stereo mit Dual 40mm Treiber, CVC 6.0 Noise Canceling für Integriertem Mikrofon Freisprechen","5,20%","5,20%"
"Amazon.de","kopfhörer",10,"B00I3LUWQA","Sony MDRZX310 Lifestyle Kopfhörer schwarz","9,27%","10,62%","B0736SCQ4X","KLIM Fusion Audio Kopfhörer - Langlebig + 5 Jahre Garantie - Innovativ: In-Ear-Kopfhörer mit Memory Foam 2019 Version Schwarz","8,96%","15,02%","B0117RGG8E","Bose ® SoundLink around-ear kabellose Kopfhörer II schwarz","4,26%","1,01%"
"Amazon.de","lego",11,"B00PY3EYQO","Lego 10698 - Classic Große Bausteine-Box","8,63%","4,03%","B075H28M6K","LEGO City 60183 - Starke Fahrzeuge Schwerlasttransporter, Beliebtes Kinderspielzeug","5,57%","8,39%","B00NVDP3ZU","LEGO Classic 10696 - Mittelgroße Bausteine-Box, Lernspielzeug","5,16%","3,98%"
