"Department=[Amazon.de]","Search Term=[]","Enter ASINs or Products=[]","Reporting Range=[Monthly]","Viewing=[12/1/17 - 12/31/17]"
"Department","Search Term","Search Frequency Rank","#1 Clicked ASIN","#1 Product Title","#1 Click Share","#1 Conversion Share","#2 Clicked ASIN","#2 Product Title","#2 Click Share","#2 Conversion Share","#3 Clicked ASIN","#3 Product Title","#3 Click Share","#3 Conversion Share"
"Amazon.de","ps4 spiele",1,"B06W9L2KY3","Crash Bandicoot N.Sane Trilogy - [PlayStation 4]","6.80%","12.30%","B071N9SDXL","Call of Duty: WWII - Standard Edition - [PlayStation 4]","6.31%","7.83%","B072MZ8Z3K","Assassin's Creed Origins - [PlayStation 4]","5.42%","7.50%"
"Amazon.de","playmobil",2,"B06W5XHWVT","PLAYMOBIL 9266 - Modernes Wohnhaus","7.81%","3.86%","B00IF1VVFO","PLAYMOBIL 5568 - Kinderspielplatz","6.67%","5.85%","B0077QT4VG","Playmobil 5167 - Mein Neues Mitnehm-Puppenhaus","6.59%","5.56%"
"Amazon.de","lego technik",3,"B01J41LWFW","LEGO Technic 42065 - Ferngesteuerter Tracked Racer","9.96%","11.27%","B01J41MBWU","LEGO Technic 42062 - Container-Transport","7.07%","6.67%","B01J41LRF2","Lego 42057 Technic Ultraleicht-Hubschrauber, Fortgeschrittenes Bauset","6.97%","12.65%"
"Amazon.de","ps4",4,"B0774QFGQ1","PlayStation 4 - Konsole (500GB, schwarz, E-Chassis) inkl. 2. DualShock Controller","29.15%","49.71%","B01LQF9RDI","PlayStation 4 - Konsole (500GB, schwarz,slim) [CUH-2016A]","9.09%","7.95%","B0756HMR7H","PlayStation 4 - Konsole (1TB, schwarz, slim) inkl. FIFA 18 + 2 DualShock Controller","6.34%","5.50%"
"Amazon.de","lego",5,"B01J41M9WC","LEGO 10703 Classic Kreativ-Bauset Gebäude, Baukästen","9.15%","5.73%","B01J41FSKW","LEGO City 60146 - Monster-Truck","6.45%","9.46%","B013GYAXGW","Lego 42046 Technic Fluchtfahrzeug, Auto-Spielzeug","4.67%","3.04%"
"Amazon.de","star wars",6,"B011T11T8A","Star Wars: The Complete Saga [9 Blu-rays]","13.81%","9.56%","B078FBZYV7","Star Wars: Die letzten Jedi (2D & 3D Steelbook Edition) [3D Blu-ray]","12.50%","9.96%","B019FA3JVW","Star Wars: Das Erwachen der Macht [2 Blu-rays]","8.20%","12.62%"
"Amazon.de","alexa",7,"B01DFKBG54","Amazon Echo Dot (2. Generation), Schwarz","30.86%","36.14%","B06ZXQV6P8","Das neue Amazon Echo (2. Generation), Anthrazit Stoff","29.02%","30.58%","B01J4IYB7Q","Wir stellen vor: Echo Plus - Mit integriertem Smart Home-Hub (schwarz)","13.35%","8.54%"
"Amazon.de","lego star wars",8,"B00SDTTH5E","Lego 75105 Star Wars Millennium Falcon, Star Wars Spielzeug","9.08%","8.59%","B01J41K0HS","Lego 75168 Star Wars Yoda's Jedi Starfighter, Star Wars Spielzeug","7.29%","12.77%","B06X3V32T9","Lego Star Wars 75189 - First Order Heavy Assault Walker","6.82%","3.60%"
"Amazon.de","nintendo switch",9,"B01N5OPMJW","Nintendo Switch Konsole Neon-Rot/Neon-Blau","47.16%","40.29%","B01M6ZGICT","Nintendo Switch Konsole Grau","15.58%","20.17%","B075LSK284","Nintendo Switch Konsole Rot + Mario Odyssey","6.87%","3.77%"
"Amazon.de","laptop",10,"B01HM4XJ7M","Microsoft Surface Pro 4 Signature Type Cover - Designer Edition aus Alcantara (QWERTZ)","10.63%","6.29%","B01F94XBZ2","Lenovo Miix 310 25,65 cm (10,1 Zoll HD) Tablet PC (Intel Atom x5-Z8350 Quad-Core Prozessor, 4GB RAM, 64GB eMMC, Intel HD Grafik, Touchscreen, Windows 10) silber inkl. AccuType QWERTZ  Tastatur","8.17%","8.73%","B06XPX66BN","iOTA ONE Laptop / Tablet, 25,6 cm (10,1 Zoll), 2-in-1-Modell - (Schwarz) (Quad-Core-Prozessor Intel Atom, 1,33 GHz, 2 GB RAM, 32 GB eMMC-Speicher, Windows 10,  QWERTY-Tastatur)","7.61%","6.53%"
"Amazon.de","adventskalender",11,"B0094FQZOC","Kinder Maxi Mix Adventskalender, 1er Pack (1 x 351 g)","11.75%","25.40%",3868829016,"Am Arsch vorbei geht auch ein Weg: Adventskalender: Der Adventskalender gegen Geschenke-Wahn und Plätzchen-Irrsinn","8.58%","7.36%","B00OBHOD6A","Huber's Frühstücks-Adventskalender Rentner, 1er Pack (1 x 200 g)","6.72%","4.43%"
