Abteilung,Suchbegriff,Suchhäufigkeit,ASIN,Nr. 1 der geklickten Titel,Klickfreigabe,Umwandlungs-Anteil,ASIN,Nr. 2 der geklickten Titel,Klickfreigabe,Umwandlungs-Anteil,ASIN,Nr. 3 der geklickten Titel,Klickfreigabe,Umwandlungs-Anteil
Amazon.de,alexa,"99,99",B01GAGVCUY,"Amazon Echo, Schwarz","38,91","17,31",B01DFKBG54,"Amazon Echo Dot (2. Generation), Schwarz","33,51","14,42",B01DFKC22A,"Amazon Echo Dot (2. Generation), Weiß","8,42","12,14"
Amazon.de,fifa 18,"99,99",B072M7NPMC,FIFA 18 - Standard Edition - [PlayStation 4],"59,53","51,72",B072Q5XPQP,FIFA 18 - Ronaldo Edition - [PlayStation 4],"23,47","32,69",B07212881M,FIFA 18 - Standard Edition - Steelbook Edition (exkl. bei Amazon.de) - [PlayStation 4],"3,7",0
Amazon.de,fire tv stick,"99,99",B01ETRIS3K,Fire TV Stick mit Alexa-Sprachfernbedienung,"77,78","42,54",B00UH2K93O,Amazon Fire TV mit 4K Ultra HD,10,"9,69",B01ETRGSPA,"Fire TV Stick mit Alexa-Sprachfernbedienung, Zertifiziert und generalüberholt","5,75","16,72"
Amazon.de,iphone 7 hülle,"99,99",B01J1L5N3M,mumbi UltraSlim Hülle für iPhone 7 Schutzhülle transparent (Ultra Slim - 0.55 mm),"47,15","23,65",B01J1L5P6C,mumbi Schutzhülle für iPhone 7 Hülle,"31,9","8,03",B01J1L5IHS,mumbi double GRIP Hülle für iPhone 7 Schutzhülle schwarz,"8,72","7,46"
Amazon.de,kindle,"99,99",B00QJDO0QC,"Kindle Paperwhite eReader, 15 cm (6 Zoll) hochauflösendes Display (300 ppi) mit integrierter Beleuchtung, WLAN (Schwarz) - mit Spezialangeboten","32,88","11,98",B0186FESVC,"Kindle eReader, 15,2 cm (6 Zoll) Touchscreen ohne Spiegeleffekte, WLAN (Schwarz) - mit Spezialangeboten","21,1","19,37",B00IOY524S,"Kindle Voyage eReader, 15,2 cm (6 Zoll) hochauflösendes Display (300 ppi) mit integriertem intelligenten Frontlicht, PagePress-Sensoren, WLAN","8,77",8
Amazon.de,nerf,"99,99",B01BP6GPX8,"Hasbro Nerf B5577EU4 - N-Strike Tri Strike Elite Modulus Blaster, Spielzeugblaster","7,58","2,88",B01N2G3YGV,"Hasbro Nerf B7784EU4 - ACCUSTRIKE Alphahawk, Spielzeugblaster","6,66","4,07",B01MXLMEAP,"Hasbro Nerf B9837EU4 - N-Strike Elite Disruptor, Spielzeugblaster","6,16","5,75"
Amazon.de,nintendo switch,"99,99",B01N5OPMJW,Nintendo Switch Konsole Neon-Rot/Neon-Blau,"32,59","13,63",B01M6ZGICT,Nintendo Switch Konsole Grau,"10,6","12,01",B01MUBNPYP,Super Mario Odyssey [Nintendo Switch],"4,77","1,46"
Amazon.de,playmobil,"99,99",B00IF1VVFO,PLAYMOBIL 5568 - Kinderspielplatz,"4,07","3,3",B0077QT4VG,Playmobil 5167 - Mein Neues Mitnehm-Puppenhaus,"3,79","3,32",B00O4E4040,PLAYMOBIL 6671 - Familien-Wohnmobil,"3,5","1,76"
Amazon.de,ps4 spiele,"99,99",B071FR6VZ6,Need for Speed - Payback - [PlayStation 4],"4,98","0,94",B072MZ8Z3K,Assassin's Creed Origins - [PlayStation 4],"4,59","1,03",B072M7NPMC,FIFA 18 - Standard Edition - [PlayStation 4],"4,17","0,33"
Amazon.de,rauchmelder,"99,99",B00DW78A8C,mumbi 4er Set Magnetbefestigung für Rauchmelder Magnet Befestigung für glatte Flächen (NICHT für Rauhfaser oder losen Putz),"26,92","3,86",B01MTOCR7N,mumbi RM250 VDS 10 Jahres Rauchmelder DIN EN14604,"25,78","25,84",B01M0F92FQ,mumbi RMF150 Funkrauchmelder: 4 x Funk Rauchmelder / Feuermelder geprüft nach DIN EN 14604 - verlinkbar vernetzbar koppelbar,"21,62","6,15"
