"Abteilung=[Amazon.de]","Suchbegriff=[]","ASINs oder Produkte eingeben=[]","Auswertungsbereich=[Monatlich]"," Wird angezeigt=[01.07.18 - 31.07.18]"
"Abteilung","Suchbegriff","Suchfrequenz-Rang ","#1 der angeklickten ASINs","Produkttitel #1","Klickrate #1","Umsatzrate #1","#2 der angeklickten ASINs","Produkttitel #2","Klickrate #2","Umsatzrate #2","#3 der angeklickten ASINs","Produkttitel #3","Klickrate #3","Umsatzrate #3"
"Amazon.de","b06xj6btyt|b06xhpm3z5|b06xj474hv|b06xj49g5b|b06xhrdf78|b076x8k1nd|b06xj65k58|b01btzfm0w|b01btzfqx0|b01btzfpko|b01n6m3k34|b01n9mjte6|b01mu5vuxk|b06w2h865t|b074pbd4v3",1,"B06XJ49G5B","Samsung Galaxy S8 Smartphone (5,8 Zoll (14,7 cm) Touch-Display, 64GB interner Speicher, Android OS) Midnight Black","32,92%","21,14%","B074PBD4V3","Samsung Galaxy Note8 Smartphone (6,3 Zoll (16,05 cm) Touch-Display, 64GB interner Speicher, Android 7.1) Maple Gold","9,93%","5,79%","B01BTZFM0W","Samsung Galaxy S7 Smartphone (5,1 Zoll (12,9 cm) Touch-Display, 32GB interner Speicher, Android OS) Schwarz","9,84%","23,17%"
"Amazon.de","ventilator",2,"B003KHJO6G","Honeywell HT-900E Kraftvoller und geräuscharmer Turbo-Ventilator","28,82%","33,64%","B00OUV4UKG","AEG VL 5668 S Standventilator, 40 cm Durchmesser, 3 Laufgeschwindigkeiten plus 2 vorprogrammierte Windmodus-Funktionen, 7,5 Std.-Timer, inkl. Fernbedienung","11,85%","14,25%","B001UHOU2G","AEG T-VL 5531 Tower-Ventilator, Höhe 75 cm, 3 Laufgeschwindigkeiten, 120 Minuten-Timer","8,31%","9,27%"
"Amazon.de","b00kpy3kv2|b00wujnlt6|b010v93xvc|b01h05fq0g|b01h05g31m|b01h28q1n2|b01i6awo5y|b01lns9v3o|b01msd7k9x|b01mugfznf|b01n39pspv|b01n3sjas7|b01n5p5pyu|b01n9bg1rq|b01n9r8sni|b06xbp67q3|b06xc2wq67|b06xxkzcsm|b06xy1sqtc|b06xy3kttm|b07111dctn|b071djngvv|b071f4rsnw|b071f7mfhb|b071fr6vz6|b071ftjd2h|b071gdh79j|b071jc1bl6|b071jz3k91|b071l9qzgy|b071n9sdxl|b071nrv298|b071s659hx|b071vrkc9n|b071yyygpw|b072155ykb|b0721bg7zx|b0721cs71y|b0721mkskv|b072k54hpt|b072m7npmc|b072m7nptj|b072ms7fkl|b072n5x2h9|b072q6qpg1|b072x",3,"B01H1QQ8L0","God of War - Standard Edition - [Playstation 4]","15,94%","18,02%","B072M7NPMC","FIFA 18 - Standard Edition - [PlayStation 4]","7,70%","7,64%","B0721MKSKV","Monster Hunter: World - [PlayStation 4]","5,79%","8,66%"
"Amazon.de","pool",4,"B001IWNDDA","Intex Family Schwimmbecken, blau, 300 x 200 x 75 cm","19,87%","15,77%","B000O1B04U","Intex 56475NP - Aufblasbares Swim Center Family Lounge, 90 x 90 x 26 Zoll","8,92%","8,67%","B0065HDQ4O","Intex Aufstellpool Frame Pool Set Rondo, ohne Filterpumpe, blau, Ø 366 x 76 cm","7,38%","6,10%"
"Amazon.de","b0058viwtm|b008cvhlt2|b008ur8ts0|b00dqgbydc|b00ecevffo|b00ecevgn0|b00fb4657c|b00fjrs6qy|b00g7lqa1e|b00h8jhpo0|b00irv005e|b00jt8ajz0|b00p8xqpy4|b00tkfeeas|b014ix0234|b014ix03ce|b015e8k818|b015e8k868|b016qah2n0|b016qah2xk|b01789qmuw|b01b4o2fhq|b01ccuyz7o|b01ciebxzg|b01f9g46q8|b01iad5zc6|b01j5rh06k|b01j5rhd58|b01jyuu1zu|b01lqqh86a|b01ly5zz4p|b01lztk3e9|b01mu8tzrv|b06w55k9n6|b06xfzv9jy|b06xwmmpgv|b06xyt37nk|b0713wpgll|b071kgrxrg|b071v61xh7|b072r78b6q|b073jy5t7t|b073s8tqh6|b073sb2l3c|b074m774tw|b074r",5,"B078WQT6S6","Samsung MZ-76E500B/EU 860 Evo Interne SSD 500GB (6,4 cm (2,5 Zoll), SATA III) Schwarz","20,44%","13,81%","B00DQGBYDC","SanDisk Ultra 64GB USB-Flash-Laufwerk USB 3.0 bis zu 100MB/Sek","4,59%","6,95%","B00TKFEEAS","Seagate STEA1000400 Externe Tragbare Festplatte Expansion Portable, 1 TB, Schwarz","3,67%","2,94%"
"Amazon.de","klimaanlage",6,"B00GWJLAZM","SUNTEC mobiles lokales Klimagerät IMPULS 2.0+ [3 in 1: für Räume bis 60 m³ (~25 m²), Kühlen, Entfeuchten, Ventilieren, 7.000 BTU/h, EEK A]","48,40%","47,45%","B0798KV45V","Rowenta Eole Compact VU6210F0 Tisch-Turmventilator, 3D Luftstromtechnologie, 3 Geschwindigkeitsstufen, leise (30 Watt) weiß/schwarz","15,63%","16,48%","B00AYCNJ3E","De'Longhi PAC N81 Mobiles Klimagerät (Max. Kühlleistung 9400 Btu/h (35°C/80% R.H.), Separate Entfeuchtungsfunktion, Geeignet für Räume bis 80 m³) Weiß","6,92%","7,40%"
"Amazon.de","nintendo switch",7,"B01N5OPMJW","Nintendo Switch Konsole Neon-Rot/Neon-Blau","32,48%","34,51%","B01M6ZGICT","Nintendo Switch Konsole Grau","31,19%","30,96%","B07DQCPWNW","Pokémon: Let’s Go, Évoli!+ Pokéball Plus - [Nintendo Switch]","4,21%","3,33%"
"Amazon.de","ps4 spiele",8,"B07BYMXH7S","Jurassic World Evolution - [PlayStation 4]","12,41%","8,30%","B01B68PSF6","Detroit: Become Human - [PlayStation 4]","5,28%","2,15%","B0725Z5FMF","Far Cry 5 - Standard Edition - [PlayStation 4]","4,53%","5,60%"
"Amazon.de","laptop",9,"B072C2G4LN","HP 15-bw050ng 2CN90EA 39,6 cm (15,6 Zoll) Laptop (AMD Dual-Core E2-9000e, 4 GB RAM, 128 GB SSD, AMD Radeon R2-Grafikkarte, FreeDOS 2.0) Schwarz","10,66%","11,61%","B079ZW95F2","Medion Akoya S6421 MD 61035 39,6 cm (15,6 Zoll Full HD Display) Laptop (Intel Pentium 4405U, 8GB RAM, 128GB SSD, Intel HD-Grafik, Win 10 Home) weiß","6,55%","8,19%","B01N6PUG26","Lenovo Legion Y520 39,6 cm (15,6 Zoll Full HD IPS Matt) Gaming Laptop (Intel Core i5-7300HQ, 8GB RAM, 1TB HDD, 128GB SSD, Nvidia GeForce GTX 1050Ti 4GB, Windows 10 Home) Schwarz","5,08%","1,97%"
"Amazon.de","klimagerät mobil",10,"B00GWJLAT8","SUNTEC mobiles lokales Klimagerät IMPULS 2.6+ [3 in 1: für Räume bis 80 m³ (~34 m²), Kühlen, Entfeuchten, Ventilieren, 9.000 BTU/h, EEK A]","41,11%","37,75%","B00AYCNJ3E","De'Longhi PAC N81 Mobiles Klimagerät (Max. Kühlleistung 9400 Btu/h (35°C/80% R.H.), Separate Entfeuchtungsfunktion, Geeignet für Räume bis 80 m³) Weiß","12,03%","14,89%","B00UAEOVJM","De'Longhi PAC AN97 Pinguino Luft-Luft System Real Feel Klimagerät / A / Max Kühlleistung 2.700 kW/ 10.700 BTU/h / weiß / mobil / Separate Entfeuchtungsfunktion","7,99%","7,45%"
