"Department=[Amazon.de]","Search Term=[]","Enter ASINs or Products=[]","Reporting Range=[Monthly]","Viewing=[11/1/17 - 11/30/17]"
"Department","Search Term","Search Frequency Rank","#1 Clicked ASIN","#1 Product Title","#1 Click Share","#1 Conversion Share","#2 Clicked ASIN","#2 Product Title","#2 Click Share","#2 Conversion Share","#3 Clicked ASIN","#3 Product Title","#3 Click Share","#3 Conversion Share"
"Amazon.de","adventskalender",1,"B0747WXNPT","Niederegger Adventskalender Männersache, 1er Pack (1 x 300 g)","15.38%","8.23%",3742300954,"Was ich an dir liebe – Adventskalender: Zum Ausfüllen und Verschenken","5.65%","6.12%","B00OBHOD6A","Huber's Frühstücks-Adventskalender Rentner, 1er Pack (1 x 200 g)","4.93%","4.20%"
"Amazon.de","ps4 spiele",2,"B071N9SDXL","Call of Duty: WWII - Standard Edition - [PlayStation 4]","11.50%","12.88%","B072MZ8Z3K","Assassin's Creed Origins - [PlayStation 4]","7.11%","8.55%","B071FR6VZ6","Need for Speed - Payback - [PlayStation 4]","6.69%","5.97%"
"Amazon.de","ps4",3,"B01M4J96DV","PlayStation 4 - Konsole (500GB, schwarz, slim) inkl. 2. DualShock Controller","21.00%","25.56%","B0756HMR7H","PlayStation 4 - Konsole (1TB, schwarz, slim) inkl. FIFA 18 + 2 DualShock Controller","12.55%","18.82%","B073QRG1YR","PlayStation 4 - Konsole (500GB, schwarz, E-Chassis)","8.56%","14.88%"
"Amazon.de","playmobil",4,"B06W5XHWVT","PLAYMOBIL 9266 - Modernes Wohnhaus","10.39%","6.10%","B0077QT4VG","Playmobil 5167 - Mein Neues Mitnehm-Puppenhaus","8.66%","7.06%","B06WVLX66Y","PLAYMOBIL 9270 - Fröhliches Kinderzimmer","4.93%","5.70%"
"Amazon.de","nintendo switch",5,"B01N5OPMJW","Nintendo Switch Konsole Neon-Rot/Neon-Blau","44.01%","36.05%","B075LSK284","Nintendo Switch Konsole Rot + Mario Odyssey","20.60%","15.68%","B01M6ZGICT","Nintendo Switch Konsole Grau","10.80%","14.19%"
"Amazon.de","laptop",6,"B01F94XBZ2","Lenovo Miix 310 25,65 cm (10,1 Zoll HD) Tablet PC (Intel Atom x5-Z8350 Quad-Core Prozessor, 4GB RAM, 64GB eMMC, Intel HD Grafik, Touchscreen, Windows 10) silber inkl. AccuType QWERTZ  Tastatur","11.40%","9.26%","B072C2G4LN","HP 15-bw050ng 2CN90EA 39,6 cm (15,6 Zoll) Laptop (AMD Dual-Core E2-9000e, 4 GB RAM, 128 GB SSD, AMD Radeon R2-Grafikkarte, FreeDOS 2.0) schwarz","8.66%","14.03%","B06XPX66BN","iOTA ONE Laptop / Tablet, 25,6 cm (10,1 Zoll), 2-in-1-Modell - (Schwarz) (Quad-Core-Prozessor Intel Atom, 1,33 GHz, 2 GB RAM, 32 GB eMMC-Speicher, Windows 10,  QWERTY-Tastatur)","7.25%","5.51%"
"Amazon.de","adventskalender kinder",7,3473443883,"Wieso? Weshalb? Warum? Adventskalender (Wieso? Weshalb? Warum? Ravensburger Minis)","10.54%","11.87%","B06XDF86HS","Craze 57361 - Adventskalender Disney Pixar Cars 3","6.05%","5.25%","B06WW7JZ7F","Ravensburger 18998 - Woozle Goozle Adventskalender 2017","5.85%","5.59%"
"Amazon.de","lego",8,"B01J41M9WC","LEGO 10703 Classic Kreativ-Bauset Gebäude, Baukästen","9.04%","6.92%","B00PY3EYQO","Lego 10698 - Classic Große Bausteine-Box","7.76%","3.19%","B01J41DNWM","Lego 31058 Creator Dinosaurier, Dinosaurier Spielzeug","5.83%","8.65%"
"Amazon.de","fernseher",9,"B06XGS3Q4Y","Samsung MU6179 138 cm (55 Zoll) Fernseher (Ultra HD, HDR, Triple Tuner, Smart TV)","11.22%","5.77%","B01BDR9Q6W","Dyon Enter 32 Pro 80 cm (31,5 Zoll) Fernseher (Triple Tuner)","9.68%","7.77%","B06X3TCL1R","Thomson 22FC3116 56 cm (22 Zoll) Fernseher (Full HD, Triple-Tuner)","4.87%","8.28%"
"Amazon.de","lego technik",10,"B06WVBM7K2","LEGO Technic 42070 - Allrad-Abschleppwagen","11.23%","5.48%","B01J41LWFW","LEGO Technic 42065 - Ferngesteuerter Tracked Racer | Outdoor Spielzeug","10.72%","8.41%","B01J41MBWU","LEGO Technic 42062 - Container-Transport","7.41%","9.01%"
"Amazon.de","playstation 4",11,"B01M4J96DV","PlayStation 4 - Konsole (500GB, schwarz, slim) inkl. 2. DualShock Controller","24.03%","26.23%","B0756HMR7H","PlayStation 4 - Konsole (1TB, schwarz, slim) inkl. FIFA 18 + 2 DualShock Controller","14.44%","20.48%","B073QRG1YR","PlayStation 4 - Konsole (500GB, schwarz, E-Chassis)","11.72%","21.06%"
"Amazon.de","adventskalender frauen",12,"B074PXYMC7","Alessandro Adventskalender 2017, 1er Pack","30.97%","27.30%","B0744NXMR3","Maybelline New York Adventskalender, 1er Pack","10.55%","5.78%",3742300954,"Was ich an dir liebe – Adventskalender: Zum Ausfüllen und Verschenken","7.50%","8.61%"
"Amazon.de","kaffeevollautomat",13,"B00400OMU0","De'Longhi Magnifica S ECAM 22.110.B Kaffeevollautomat (Direktwahltasten und Drehregler, Milchaufschäumdüse, Kegelmahlwerk 13 Stufen, Herausnehmbare Brühgruppe, 2-Tassen-Funktion) schwarz","26.47%","39.16%","B00INSX904","KRUPS EA8108 Kaffeevollautomat (1,8 l, 15 bar, CappuccinoPlus-Düse) schwarz","8.71%","8.22%","B002OHDBLW","De'Longhi ECAM 23.420.SB Kaffeevollautomat (Digitaldisplay, Profi-Aufschäumdüse, Kegelmahlwerk 13 Stufen, Herausnehmbare Brühgruppe, 2-Tassen-Funktion) silber/schwarz","7.25%","9.02%"
"Amazon.de","kopfhörer",14,"B00NBR70DO","Sony MDR-ZX110 faltbarer Bügelkopfhörer, schwarz","15.96%","25.03%","B00WV0SZH2","Samsung 3700664152936 Stereo-Kopfhörer für Galaxy S6 weiß","9.37%","13.48%","B0117RGD0K","Bose ® SoundLink around-ear kabellose Kopfhörer II weiß","7.29%","1.83%"
