"Abteilung=[Amazon.de]","Suchbegriff=[]","ASINs oder Produkte eingeben=[]","Auswertungsbereich=[Monatlich]"," Wird angezeigt=[01.03.18 - 31.03.18]"
"Abteilung","Suchbegriff","Suchfrequenz-Rang ","#1 der angeklickten ASINs","Produkttitel #1","Klickrate #1","Umsatzrate #1","#2 der angeklickten ASINs","Produkttitel #2","Klickrate #2","Umsatzrate #2","#3 der angeklickten ASINs","Produkttitel #3","Klickrate #3","Umsatzrate #3"
"Amazon.de","nerf",14,"B01MXLMEAP","Hasbro Nerf B9837EU4 - N-Strike Elite Disruptor, Spielzeugblaster","17,08%","31,86%","B06X9Q5T2N","Hasbro Nerf C1294EU4 - N-Strike Modulus Regulator Spielzeugblaster","8,09%","5,39%","B01BP6GPV0","Hasbro Nerf B5573EU4 - N-Strike Elite Hyper-Fire Blaster, Spielzeugblaster","7,75%","7,23%"
"Amazon.de","alexa",15,"B06ZXQV6P8","Das neue Amazon Echo (2. Generation), Anthrazit Stoff","36,56%","38,59%","B01DFKBG54","Amazon Echo Dot (2. Generation), Schwarz","21,16%","21,82%","B01J2BL01K","Wir stellen vor: Amazon Echo Spot - Schwarz","9,66%","7,72%"
"Amazon.de","far cry 5",16,"B0725Z5FMF","Far Cry 5 - Standard Edition - [PlayStation 4]","70,07%","68,03%","B072VMLCF4","Far Cry 5 [AT PEGI] - Standard  Edition - [Xbox One]","4,95%","4,72%","B071LQCG82","Far Cry 5 - Gold Edition - [PlayStation 4]","4,84%","8,29%"
"Amazon.de","kaffeemaschine",17,"B00JM0BYDQ","Melitta, Filterkaffeemaschine mit Glaskanne, EASY, Tropfstopp, Schwarz, 1010-02","12,83%","27,23%","B000ALVUM6","Philips HD7546/20 Gaia Filter-Kaffeemaschine mit Thermo-Kanne, schwarz/metall","11,53%","22,94%","B00400OMU0","De'Longhi Magnifica S ECAM 22.110.B Kaffeevollautomat (Direktwahltasten und Drehregler, Milchaufschäumdüse, Kegelmahlwerk 13 Stufen, Herausnehmbare Brühgruppe, 2-Tassen-Funktion) schwarz","10,55%","2,80%"
"Amazon.de","usb stick",18,"B008RDCEBK","Intenso Alu Line 32 GB USB-Stick USB 2.0 anthrazit","14,73%","16,77%","B00DQG9OZ2","SanDisk Ultra 32GB USB-Flash-Laufwerk USB 3.0 bis zu 100MB/Sek","13,46%","14,80%","B005FYNSZA","SanDisk Cruzer Fit Z33 16GB USB-Stick, USB 2.0 schwarz","10,60%","11,38%"
"Amazon.de","nintendo switch spiele",19,"B01MUBNPYP","Super Mario Odyssey [Nintendo Switch]","8,84%","17,15%","B07913DTK3","Donkey Kong Country Tropical Freeze - [Nintendo Switch]","7,35%","3,94%","B01N4ND0F9","Mario Kart 8 Deluxe [Nintendo Switch]","5,60%","12,37%"
"Amazon.de","lego technik",20,"B075H1XL8S","LEGO Technic 42073 - Set für geübte Baumeister","12,21%","19,52%","B075GR44MV","LEGO Technic 42078 - Mack Anthem, Konstruktionsspielzeug","10,45%","5,40%","B01J41LWFW","LEGO Technic 42065 - Ferngesteuerter Tracked Racer","7,26%","7,75%"
"Amazon.de","makita",21,"B01JIOGFD4","Makita Akku-Schlagbohrschrauber (2x Akku/Ladegerät im Transportkoffer, 170 W, 10.8 V) HP331DSAX3","15,11%","18,28%","B01CO00N7I","Makita Akku-Schlagbohrschrauber 2 x 18V 3Ah, im Alukoffer inkl. 96-tlg. Zubehörset DHP453RFX2","10,19%","18,28%","B0042CWWS0","Makita B-43044 Bohrer Bit Set 66tlg. im MAKPAC","9,32%","9,88%"
"Amazon.de","kaffeevollautomat",22,"B00400OMU0","De'Longhi Magnifica S ECAM 22.110.B Kaffeevollautomat (Direktwahltasten und Drehregler, Milchaufschäumdüse, Kegelmahlwerk 13 Stufen, Herausnehmbare Brühgruppe, 2-Tassen-Funktion) schwarz","25,73%","40,56%","B00INSX904","Krups EA8108 Kaffeevollautomat (1450 Watt, 1,8 Liter, 15 bar, CappuccinoPlus-Düse, Dampfdüse) schwarz","15,64%","18,95%","B074QGDYVB","Siemens EQ.6 plus s300 TE653501DE Kaffeevollautomat (1500 Watt, SensoFlow System, aromaDouble Shot, coffeeSelect Display, Keramik-Mahlwerk) silber","4,90%","2,37%"
"Amazon.de","waschmaschine",23,"B00N9XDPSO","Siemens iQ700 WM16W540 iSensoric Premium-Waschmaschine / A+++ / 1600 UpM / 8kg / Weiß / VarioPerfect / Antiflecken-System / Selbstreinigungsschublade","20,01%","16,35%","B006T7JXMY","Gorenje WA6840 Waschmaschine FL / A+++ / 146 kWh/Jahr / 1400 UpM / 6 kg / 9.146 L/Jahr / Weiß / Startzeitvorwahl (24 h) / LED Display","11,05%","16,72%","B01BPFJFU4","Siemens WM14N120 iQ300 Waschmaschine FL / A+++ / 157 kWh/Jahr / 1390 UpM / 7 kg / Weiß / Spezialprogramm für Sport- und Outdoor-Bekleidung / Imprägnier-Programm / Nachlegefunktion","7,31%","4,78%"
"Amazon.de","wasserkocher",24,"B0019QLTMW","Philips HD4646/20  Serie Wasserkocher (1,5 Liter, 2400 Watt, Anti-Kalk), Silber/Schwarz","37,23%","51,67%","B009I4A1TE","WMF STELIO Wasserkocher, 1,2 l, 2400 W, Wasserstandsanzeige beleuchtet, Kalk Wasserfilter, cromargan matt/silber","10,63%","8,90%","B06XRS45JT","VAVA VA-EB015 DE Wasserkocher, Edelstahl, 15.5 x 22.2 x 25 cm","9,11%","5,12%"
"Amazon.de","bluetooth kopfhörer",25,"B0756BRVXJ","Anker Bluetooth Kopfhörer SoundBuds Flow in Ear magnetisches Headset, mit Wasserschutzklasse IPX5/7-Stunden-Spielzeit/Mikrofon, federleicht für iPhone, iPad, Samsung, Nexus, HTC und mehr","45,78%","65,28%","B01M6WNWR6","JBL T450BT Kabelloser On-Ear Bluetooth Kopfhörer mit Integrierter Musiksteuerung und Mikrofon Kompatibel mit Apple und Android Geräten -Schwarz","25,65%","17,01%","B075G8F95S","TaoTronics Bluetooth Kopfhörer Over Ear Headset mit leichtem Rückstellschaum Ohrpolster & Dual 40mm Treiber, 15 Stunden Spielzeit, EQ Bass, 3,5 mm AUX, On-Ear Steuerung","6,42%","5,81%"
"Amazon.de","lego star wars",26,"B075GR9G8H","LEGO Star Wars 75199 - General Grievous Combat Speeder, Spielzeug Gleiter","8,54%","13,50%","B06WP5BS19","LEGO Star Wars 75190 - First Order Star Destroyer","7,66%","3,43%","B075GQ97SC","LEGO Star Wars 75193 - Millennium Falcon Microfighter, Spielzeug","7,26%","13,86%"
"Amazon.de","iphone 7",27,"B01LSUYWO0","Apple iPhone 7 Smartphone (11,9 cm (4,7 Zoll), 32GB interner Speicher, iOS 10) matt-schwarz","43,35%","45,05%","B01N4RM2LQ","Apple iPhone 7 SIM-Free Smartphone Matt Schwarz 128GB (Zertifiziert und Generalüberholt)","13,28%","10,87%","B01N9VBVN1","Apple iPhone 7 SIM-Free Smartphone Matt Schwarz 32GB (Zertifiziert und Generalüberholt)","8,47%","7,20%"
"Amazon.de","playstation 4",28,"B0774QFGQ1","PlayStation 4 - Konsole (500GB, schwarz, E-Chassis) inkl. 2. DualShock Controller","23,63%","28,04%","B01LQF9RDI","PlayStation 4 - Konsole (500GB, schwarz,slim) [CUH-2016A]","16,55%","19,59%","B074JB5ZNW","PlayStation 4 - Konsole (1TB, schwarz, E-Chassis)","13,09%","25,50%"
"Amazon.de","samsung",29,"B01N6M3K34","Samsung Galaxy A5 (2017) Smartphone ( 13,22 cm(5,2 Zoll) Touch-Display, 32 GB Speicher, Android 6.0) schwarz","14,98%","13,67%","B06XJ49G5B","Samsung Galaxy S8 Smartphone (5,8 Zoll (14,7 cm) Touch-Display, 64GB interner Speicher, Android OS) midnight black","9,73%","3,55%","B01CT6Q628","Samsung Galaxy J3 DUOS Smartphone (12,63 cm (5 Zoll) HD Super-AMOLED-Touchscreen, 8 GB, Android 5.1 Lollipop) schwarz","8,45%","11,96%"
"Amazon.de","monitor",30,"B014RKZ81O","Asus VS248HR 61 cm (24 Zoll) Monitor (VGA, DVI, HDMI, 1ms Reaktionszeit) schwarz","14,50%","13,13%","B01DMDKZTC","Samsung C24F396FHU 61 cm (24 Zoll) Curved Monitor (VGA, HDMI, 4ms Reaktionszeit, 1920 x 1080 Pixel) schwarz","13,12%","9,85%","B005OPLG0O","BenQ GL2450HM 61 cm (24 Zoll) Monitor (VGA, DVID, HDMI, 2ms Reaktionszeit) schwarz [Energieklasse B]","8,78%","11,73%"
"Amazon.de","mikrowelle",31,"B00BRH5B6I","Samsung MS23F301EASEG Mikrowelle / 23 L / 800 W / Schwarz / Silber / Premium Select Line elektronische Steuerung","16,47%","12,24%","B00IKDAPRW","Severin MW 7875 Mikrowelle (700 Watt, 20 Liter, Garraum) silber","14,19%","18,22%","B00KHT1CCY","Samsung GE89MST-1XEG Grill-Mikrowelle (1.200 W) schwarz / silber, 23 l","8,65%","7,05%"
"Amazon.de","popsocket",32,"B00UY1YTGG","PopSockets: Ausziehbarer Sockel und Griff für Smartphones und Tablets - Black","14,24%","13,62%","B01DNRMTA0","PopSockets: Ausziehbarer Sockel und Griff für Smartphones und Tablets - Blush","13,24%","13,78%","B01LYV2HE8","PopSockets: Ausziehbarer Sockel und Griff für Smartphones und Tablets - White Hear Black","7,43%","6,89%"
"Amazon.de","samsung galaxy s8",33,"B06XJ49G5B","Samsung Galaxy S8 Smartphone (5,8 Zoll (14,7 cm) Touch-Display, 64GB interner Speicher, Android OS) midnight black","59,93%","63,81%","B06XHRDF78","Samsung Galaxy S8 Smartphone (5,8 Zoll (14,7 cm) Touch-Display, 64GB interner Speicher, Android OS) orchid grey","12,91%","15,75%","B06XJ65K58","Samsung Galaxy S8 Smartphone (5,8 Zoll (14,7 cm) Touch-Display, 64GB interner Speicher, Android OS) arctic silver","7,28%","9,12%"
"Amazon.de","drucker",34,"B01HIH1P7O","HP Deskjet 3636 Multifunktionsdrucker (WLAN Drucker, Scanner, Kopierer, HP Instant Ink, AirPrint)","19,16%","18,67%","B01HIH1PNS","HP ENVY 4525 Multifunktionsdrucker (Fotodrucker, Scanner, Kopierer, Airprint, Duplex) mit 3 Probemonaten HP Instant Ink inklusive","13,79%","10,44%","B00MCDJ4UK","Epson WorkForce WF-2630WF Tintenstrahl-Multifunktionsgerät (Drucker, Scanner, kopieren, Fax, WiFi) schwarz","8,16%","8,29%"
"Amazon.de","bluetooth lautsprecher",35,"B016MO90GW","Anker SoundCore - Mobiler Bluetooth 4.0 Lautsprecher mit unglaublicher 24-Stunden-Akkulaufzeit und Dual-Treiber Wireless Speaker mit reinem Bass und eingebautem Mikrofon für iPhone, iPad, Samsung, Nexus, HTC und andere Android Geräte (Schwarz)","12,79%","17,05%","B01MTB55WH","Anker SoundCore 2 Bluetooth Lautsprecher mit Dual-Treiber besserem Bass, 24 St Spielzeit, 20 M Reichweite, IPX5 Wasserfest mit Eingebauten Mikrofon, Kabelloser Lautsprecher für iPhone, Samsung usw.(Schwarz)","12,19%","16,12%","B01MSYQWNY","JBL FLIP 4 mobiler Bluetooth-Lautsprecher (ausgestatteter, wasserdichter, mit überraschend kraftvollem Sound) schwarz","9,21%","6,48%"
"Amazon.de","ps4 controller",36,"B01GVQUX3U","PlayStation 4 - DualShock 4 Wireless Controller, schwarz (2016)","30,45%","43,39%","B01NBKW254","Nacon Revolution Pro PlayStation 4 Controller (PS4)","13,37%","5,20%","B00BF6D63Q","PlayStation 4 - DualShock 4 Wireless Controller, schwarz","11,19%","8,55%"
"Amazon.de","switch",37,"B01N5OPMJW","Nintendo Switch Konsole Neon-Rot/Neon-Blau","50,97%","16,14%","B01M6ZGICT","Nintendo Switch Konsole Grau","11,52%","6,64%","B000FNFSPY","TP-Link TL-SF1005D Netzwerk Switch (5x 10/100MBit/s RJ45 ports) weiß","5,93%","23,48%"
